balC,apraC,Costing_bn
1e+05,balance,4.85516389365923
1e+05,none,3.74353377328834
1e+05,weight,5.04460457854816
5e+05,balance,2.44758198262537
5e+05,none,1.69888151846912
5e+05,weight,2.28933035081237
750000,balance,1.56867771555466
750000,none,1.03614832535855
750000,weight,1.39626323754717
1e+06,balance,0.935497601121417
1e+06,none,0.597326649117954
1e+06,weight,0.804928426325477
