balC,apraC,Costing_bn
1600000,balance,4.85471925346717
1600000,none,2.63628943046263
1600000,weight,3.55253579550531
2e+06,balance,3.94508330247588
2e+06,none,2.07970687789659
2e+06,weight,2.80251213789895
3200000,balance,2.25622691276099
3200000,none,1.23031409205294
3200000,weight,1.65791160910799
