newContrTax,newCap,Costing_bn
15%,0,17.8213025118679
15%,11000,3.37555527097619
15%,15000,1.76617047919165
15%,20000,0.626048085256896
mr - 15%,0,17.8213025118679
mr - 15%,11000,7.01230997016365
mr - 15%,15000,6.03752123309032
mr - 15%,20000,5.42403440637792
mr - 20%,0,17.8213025118679
mr - 20%,11000,3.55893503432184
mr - 20%,15000,2.22883786290231
mr - 20%,20000,1.33154021352863
